name,new_2015,new_2016,new_2017,nest_site,nest_area,intact_at_last_obs,year_last_monitored,year_last_intact,year_last_occupancy,year_first_monitored,Notes,site_name,comments,landscape,county,state,ifw_region,nest_evaluation_date,nest_tree_prominence,nest_comments,long_utm,lat_utm,long,lat
Three,Yes,,,205R01,205,Yes,2015,2015,2015,2015,,NA,NA,NA,NA,NA,NA,NA,NA,NA,558197,5018454,-68.25749454,45.31717834
Ellis,No,,,282A,282,Yes,2016,2016,2016,1998,,,,interior,Oxford,ME,D,,,,367667,4946617,-70.66920213,44.66072037
Branch,No,,,327A,327,Yes,2015,2015,2015,2001,,Teacher Island,,interior,Hancock,ME,C,,dominant,,533356,4940721,-68.57955927,44.61906743
Sandy,Yes,,,423R01,423,Yes,2016,2016,2016,2015,20170325: Slightly tweaked coordinates to match better with GPS location data,NA,NA,NA,NA,NA,NA,NA,NA,NA,474839,4928301,-69.316541,44.50759
Sandy,,,Yes,423R02,423,Yes,2017,2017,2017,2017,,,,,,,,,,,474956,4928547,-69.315077,44.50981
Wilson,Yes,,,434R01,434,Yes,2015,2015,2015,2015,,NA,NA,NA,NA,NA,NA,NA,NA,NA,461047,5037798,-69.49852193,45.49262483
Musquash,No,,,446A,446,Yes,2015,2015,2015,2004,,,,interior,Washington,ME,F,,supercanopy,,593808,5030802,-67.800887,45.424446
Musquash,No,Yes,,446R01,446,Yes,2016,2016,2016,2016,20170325: Created new nest site based on GPS location data,NA,NA,NA,NA,NA,NA,NA,NA,NA,596196,5028554,-67.770808,45.403891
Phillips,No,,,456A,456,Yes,2015,2015,2015,2005,,Phillips Lake islet,,interior,Hancock,ME,C,,,,531940,4948416,-68.59692745,44.68840407
Upper,Yes,,,468R01,468,Yes,2015,2016,2015,2015,,NA,NA,NA,NA,NA,NA,NA,NA,NA,546045,5018422,-68.412534,45.317793
Webb,No,,,519B,519,Yes,2015,2015,2014,2013,,,,interior,Franklin,ME,D,,dominant,,384347,4952305,-70.46017057,44.71478788
Crooked,No,,,619A,619,Yes,2015,2015,2013,2009,,Crooked Pond shoreline,,interior,Penobscot,ME,F,,dominant,,542920,5022431,-68.45205021,45.35407601
Madagascal,No,,,620B,620,Yes,2015,2015,2013,2013,,Madagascal Pond,,interior,Penobscot,ME,F,,dominant,,550435,5015512,-68.35681865,45.2912986
Eskutassis,No,,,629A,629,Yes,2015,2015,2015,2009,,,,interior,Penobscot,ME,F,,dominant,,542758,5011724,-68.45504255,45.25771184
Hebron,No,,,659A,659,Yes,2016,2015,2016,2011,20170325: Slightly tweaked coordinates to match better with GPS location data,,,interior,Piscataquis,ME,E,,,,458034,5014408,-69.535282,45.281963
Norway,No,,,667A,667,Yes,2015,2015,2015,2011,,,,interior,Oxford,ME,A,,dominant,,371811,4900893,-70.60563404,44.24999181
Davis,No,,,698A,698,Yes,2013,2016,2013,2013,,,,interior,Piscataquis,ME,F,,dominant,,467584,5010045,-69.41304379,45.24315341
Onawa,No,,,722A,722,Yes,2015,2015,2015,2013,,,,interior,Piscataquis,ME,F,,dominant,,469415,5026664,-69.39073839,45.39282469
Sheepscot,Yes,,,731R01,731,Yes,2015,2015,2015,2015,,NA,NA,NA,NA,NA,NA,NA,NA,NA,466486,4912166,-69.420584,44.361993
