"","behavior_behavior","behavior","behavior_next","count.x","min_step","max_step","weibull_shape","weibull_scale","count.y","mvm_mu1","mvm_mu2","mvm_kappa1","mvm_kappa2","mvm_prop","behavior_num","behavior_next_num"
"1","Cruise -> Cruise","Cruise","Cruise",646,14806.2376720084,144.138821973818,1.64260632881377,4397.43789030379,646,0.294576671562629,3.55320117166244,1.89214275244524,1.75571497511621,0.442669091315786,1,1
"2","Cruise -> Flight","Cruise","Flight",316,13850.9616272662,87.6584280032445,1.62439589712941,4251.01909152591,316,3.28142447635297,6.18202136196514,12.9924840863212,0.574261094094601,0.248481298603577,1,2
"3","Cruise -> Nest","Cruise","Nest",103,8879.72533359,95.4829827770373,1.52064584199445,3310.31467499449,105,2.95052007281271,6.28318514000655,1.05445372988689,4.21815147272116,0.536967406746791,1,3
"4","Cruise -> Perch","Cruise","Perch",337,11022.1715192606,54,1.30324511677,3115.10108548635,337,2.21968796302295,6.28318527892792,0.299186870898905,20.7861952545291,0.89461257918172,1,4
"5","Flight -> Cruise","Flight","Cruise",401,11166.4453162141,86.2844134244419,1.75292727597187,3746.30057138194,401,2.96831952489815,5.94575627402345,6.66816472117227,0.819848685385653,0.209455901319346,2,1
"6","Flight -> Flight","Flight","Flight",459,10654.7641926042,42.4499705535822,1.28740980982524,2837.17722607549,459,3.22394417473467,6.28318420284868,0.643917918251407,3.85844106224709,0.640815673243897,2,2
"7","Flight -> Nest","Flight","Nest",366,8858.19168905257,52.773099207835,0.936681421606131,1799.5226150021,366,3.18076982060937,6.28318530152455,33.9755018374826,1.14241616998028,0.182030319582857,2,3
"8","Flight -> Perch","Flight","Perch",1127,10159.5774026285,42.7200187265877,0.931745050814367,1211.57654892561,1127,3.14467115342451,6.24826279650053,40.5039384094866,0.714142900385919,0.118436544304799,2,4
"9","Flight -> Roost","Flight","Roost",15,1825.50486167526,71.028163428319,0.969025513233605,512.147005405531,18,3.06930476816779,6.28318525290128,9.0492873076577,1.82089876745733,0.444705285496435,2,5
"10","Nest -> Cruise","Nest","Cruise",76,5006.03965226006,107.018689956474,1.37318878619078,1806.43429810779,77,5.20079187724157,6.2799225498068,99.9978330361288,8.84741491521866e-08,0.124757989931512,3,1
"11","Nest -> Flight","Nest","Flight",348,8245.50914134476,56.0892146495206,0.940184678880824,1192.39778693616,348,0.0318376827854883,3.88077657438715,99.9882448006583,0.0454401637435937,0.051184836047783,3,2
"12","Nest -> Perch","Nest","Perch",1343,6633.73808647884,42.4499705535822,0.974145548492217,552.755985442757,1343,2.67723721160303,5.55134244727052,1.76942603378469,0.547371008739615,0.218494213674251,3,4
"13","Nest -> Roost","Nest","Roost",27,1871.09646998758,57.2013985843004,0.980362685704351,406.751064050277,29,2.71039370698231,5.9647122718326,1.0238964908629,12.2665494567565,0.770922399404226,3,5
"14","Perch -> Cruise","Perch","Cruise",258,7250.87043050695,67.1192967781993,1.44202441525694,1794.22139440076,258,4.0943054957356,6.28318517965202,0.298085750719417,13.79509251028,0.943170501772854,4,1
"15","Perch -> Flight","Perch","Flight",1184,9393.48375204855,42.4499705535822,1.04188757909419,1244.42258379552,1184,3.16003938239489,6.28318515410835,0.297080573197107,2.09683516287077,0.849863725020848,4,2
"16","Perch -> Nest","Perch","Nest",1305,8214.18346520213,42.485291572496,0.946079156310754,680.476078735507,1305,2.92573531202174,5.81051597649233,0.367655513763512,99.9989924797993,0.97067814914862,4,3
"17","Perch -> Roost","Perch","Roost",209,2798.76294101519,42.7200187265877,0.972079565489582,323.464466979648,209,3.12744482988643,5.94928307881581,41.6201517683674,1.10969283115889e-06,0.14562460973568,4,5
"18","Roost -> Flight","Roost","Flight",32,2748.26727230086,49.2442890089805,0.997163766605711,629.36682436289,35,1.84554980115864,4.20826575343497,17.0315689545694,0.69936592254094,0.285497932484599,5,2
"19","Roost -> Nest","Roost","Nest",19,2558.83801753843,106.254411673116,1.21015633359304,769.43076511334,20,2.70461008709524,5.7047427928216,1.62457111590539,7.25243756572393,0.845779162426787,5,3
"20","Roost -> Perch","Roost","Perch",210,3134.68355659706,44.9110231457712,0.961358109282126,657.317564648209,210,2.17554619717665,3.48246399784778,99.8390564769327,0.106347477403631,0.0560640000070916,5,4
