behavior,behavior_next,count,weibull_shape,weibull_scale,wrp_cauchy_mu_rad,wrp_cauchy_rho,count,weibull_shape,weibull_scale,wrp_cauchy_mu_rad,wrp_cauchy_rho
Cruise,Cruise,647,1.73,5050.3,4.23,0.033,2000,1.72,5110.0,4.86,0.029
Cruise,Flight,316,1.74,4823.0,2.50,0.073,2000,1.74,4828.1,2.84,0.059
Cruise,Nest,88,1.31,3169.5,1.18,0.079,2000,1.29,3111.1,1.53,0.073
Cruise,Perch,355,1.39,3193.2,0.93,0.069,2000,1.42,3229.3,0.90,0.072
Cruise,Roost,3,0.75,476.9,3.01,0.832,2000,0.75,492.4,3.00,0.829
Flight,Cruise,402,1.67,3735.7,4.74,0.041,2000,1.73,3852.1,4.88,0.050
Flight,Flight,470,1.26,3138.4,0.01,0.153,2000,1.24,3188.4,0.02,0.194
Flight,Nest,346,0.90,1388.7,5.78,0.050,2000,0.89,1349.4,4.27,0.036
Flight,Perch,1233,0.89,1132.5,6.25,0.179,2000,0.88,1123.1,0.06,0.172
Flight,Roost,24,0.90,464.0,2.98,0.242,2000,0.91,456.2,2.91,0.203
Nest,Cruise,67,1.51,2031.4,5.10,0.155,2000,1.53,2040.1,4.91,0.152
Nest,Flight,295,0.92,1231.7,3.40,0.003,2000,0.93,1231.3,4.94,0.019
Nest,Nest,14009,1.30,14.9,3.12,0.359,2000,1.28,14.7,3.18,0.367
Nest,Perch,1586,0.71,304.1,3.17,0.103,2000,0.70,299.2,3.50,0.107
Nest,Roost,186,0.80,46.3,3.19,0.322,2000,0.79,46.9,3.19,0.349
Perch,Cruise,272,1.42,1980.6,4.62,0.097,2000,1.39,1989.6,4.45,0.084
Perch,Flight,1336,0.93,1112.6,2.78,0.011,2000,0.93,1141.1,6.20,0.011
Perch,Nest,1539,0.69,438.6,3.17,0.295,2000,0.70,452.6,3.14,0.295
Perch,Perch,22553,0.48,62.1,3.14,0.235,2000,0.49,55.4,3.07,0.215
Perch,Roost,282,0.85,330.1,3.11,0.166,2000,0.86,337.2,3.10,0.147
Roost,Cruise,2,4.08,82.3,1.54,0.543,2000,4.10,82.4,2.45,1.000
Roost,Flight,50,1.09,751.9,2.93,0.114,2000,1.08,761.6,2.87,0.132
Roost,Nest,174,0.60,57.0,3.12,0.442,2000,0.59,56.6,3.14,0.430
Roost,Perch,272,0.97,610.6,1.65,0.075,2000,0.97,627.9,1.50,0.086
Roost,Roost,2779,1.44,16.3,3.20,0.336,2000,1.46,16.3,3.19,0.343
