,behavior_behavior,count_all,weibull_shape_all,weibull_scale_all,wrp_cauchy_mu_rad_all,wrp_cauchy_rho_all,,count_rs,weibull_shape_rs,weibull_scale_rs,wrp_cauchy_mu_rad_rs,wrp_cauchy_rho_rs
1,Cruise -> Cruise,647,1.73,5050,4.23,0.033,,2000,1.77,4999,2.86,0.007
2,Cruise -> Flight,316,1.74,4823,2.5,0.073,,2000,1.67,4739,2.4,0.059
3,Cruise -> Nest,88,1.31,3169,1.18,0.079,,2000,1.31,3202,1.1,0.091
4,Cruise -> Perch,355,1.39,3193,0.93,0.069,,2000,1.38,3074,1.03,0.057
5,Cruise -> Roost,3,0.75,476,3.01,0.832,,2000,0.75,480,3,0.84
6,Flight -> Cruise,402,1.67,3735,4.74,0.041,,2000,1.64,3640,3.68,0.041
7,Flight -> Flight,470,1.26,3138,0.01,0.153,,2000,1.25,3045,6.22,0.174
8,Flight -> Nest,346,0.9,1388,5.78,0.05,,2000,0.91,1419,5.98,0.032
9,Flight -> Perch,1233,0.89,1132,6.25,0.179,,2000,0.91,1131,6.19,0.205
10,Flight -> Roost,24,0.9,464,2.98,0.242,,2000,0.9,462,3.01,0.261
11,Nest -> Cruise,67,1.51,2031,5.1,0.155,,2000,1.52,2049,5.24,0.126
12,Nest -> Flight,295,0.92,1231,3.4,0.003,,2000,0.91,1245,2.97,0.039
13,Nest -> Nest,14009,1.3,14,3.12,0.359,,1990,1.28,15,3.17,0.374
14,Nest -> Perch,1586,0.71,304,3.17,0.103,,2000,0.71,317,3.27,0.086
15,Nest -> Roost,186,0.8,46,3.19,0.322,,2000,0.79,45,3.18,0.321
16,Perch -> Cruise,272,1.42,1980,4.62,0.097,,2000,1.37,1939,4.6,0.08
17,Perch -> Flight,1336,0.93,1112,2.78,0.011,,2000,0.94,1099,2.88,0.028
18,Perch -> Nest,1539,0.69,438,3.17,0.295,,2000,0.69,450,3.18,0.27
19,Perch -> Perch,22553,0.48,62,3.14,0.235,,1992,0.48,58,3.06,0.22
20,Perch -> Roost,282,0.85,330,3.11,0.166,,2000,0.84,329,3.09,0.182
21,Roost -> Cruise,2,4.08,82,1.54,0.543,,2000,4.06,82,1.19,1
22,Roost -> Flight,50,1.09,751,2.93,0.114,,2000,1.11,784,3.09,0.127
23,Roost -> Nest,174,0.6,56,3.12,0.442,,2000,0.59,58,3.08,0.419
24,Roost -> Perch,272,0.97,610,1.65,0.075,,2000,0.96,597,2.01,0.073
25,Roost -> Roost,2779,1.44,16,3.2,0.336,,1994,1.41,16,3.2,0.345
